epoch	lr	acc	loss	val_acc	val_loss	delta_ema
226	1.0e-03	0.8595	0.5894	0.6518	1.6827	0.00302
227	1.0e-03	0.8569	0.5972	0.6540	1.6417	0.00192
228	1.0e-03	0.8601	0.5924	0.6482	1.7145	0.00194
229	1.0e-03	0.8592	0.5903	0.6577	1.6471	0.00237
230	1.0e-03	0.8593	0.5897	0.6493	1.7121	0.00296
231	1.0e-03	0.8594	0.5962	0.6612	1.6227	0.00140
232	1.0e-03	0.8587	0.5926	0.6579	1.6392	0.00089
233	1.0e-03	0.8603	0.5902	0.6528	1.7000	0.00089
234	1.0e-03	0.8616	0.5872	0.6474	1.7034	0.00124
235	1.0e-03	0.8608	0.5870	0.6552	1.6416	0.00129
236	1.0e-03	0.8608	0.5865	0.6514	1.6787	0.00093
237	1.0e-03	0.8605	0.5803	0.6607	1.6486	0.00156
238	1.0e-03	0.8611	0.5820	0.6512	1.6840	0.00152
239	1.0e-03	0.8605	0.5846	0.6591	1.6517	0.00078
240	1.0e-03	0.8602	0.5872	0.6586	1.6378	0.00011
241	1.0e-03	0.8633	0.5771	0.6447	1.7263	0.00137
